row,full_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,zip
130453,"4950 W 39TH ST, CHICAGO IL 60402",FALSE,4950,4950,W,39TH,ST,60402
130463,"5950 W 49TH ST, CHICAGO IL 60402",FALSE,5950,5950,W,49TH,ST,60402
130486,"5052-54 S LOTUS, CHICAGO IL 60402",FALSE,5052,5054,S,LOTUS,,60402
130871,"10300 S STATE LINE ROAD, CHICAGO IL 60633",FALSE,10300,10300,S,STATE LINE ROAD,,60633
131172,"S LOOMIS, CHICAGO IL 60607",FALSE,,,S,LOOMIS,,60607
131173,"S HALSTED ST, CHICAGO IL 60608",FALSE,,,S,HALSTED,ST,60608
131180,"S CALIFORNIA AVE, CHICAGO IL 60647",FALSE,,,S,CALIFORNIA,AVE,60647
131190,"S KEELER, CHICAGO IL 60624",FALSE,,,S,KEELER,,60624
131191,"S LAVERGNE, CHICAGO IL 60402",FALSE,,,S,LAVERGNE,,60402
131192,"S KOSTNER, CHICAGO IL 60623",FALSE,,,S,KOSTNER,,60623
131193,"S CENTRAL AVE, CHICAGO IL 60201",FALSE,,,S,CENTRAL,AVE,60201
146728,"9830 S GREEN BAY AVE, CHICAGO IL 60617",FALSE,9830,9830,S,GREEN BAY,AVE,60617
146741,"10550 S PULASKI RD, CHICAGO IL 60655",FALSE,10550,10550,S,PULASKI,RD,60655
147106,"400-40 W 40TH ST, CHICAGO IL 60609",FALSE,400,440,W,40TH,ST,60609
148112,"6722 W ALBION AVE, CHICAGO IL 60631",FALSE,6722,6722,W,ALBION,AVE,60631
148113,"6728 W ALBION AVE, CHICAGO IL 60631",FALSE,6728,6728,W,ALBION,AVE,60631
148420,"510 N NORTHWEST HWY, CHICAGO IL 60631",FALSE,510,510,N,NORTHWEST,HWY,60631
166228,"6410 N PARIS AVE, CHICAGO IL 60634",FALSE,6410,6410,N,PARIS,AVE,60634
218921,"600 E RANDOLPH ST, CHICAGO IL 60602",FALSE,600,600,E,RANDOLPH,ST,60602
219907,"10558 S PULASKI RD, CHICAGO IL 60655",FALSE,10558,10558,S,PULASKI,RD,60655
219996,"S ASHLAND AVE, CHICAGO IL 60608",FALSE,,,S,ASHLAND,AVE,60608
220042,"W CONGRESS & CHICAGO RIVER, CHICAGO IL 60607",TRUE,,,,,,60607
220047,"W MADISON ST & CHICAGO RIVER, CHICAGO IL 60606",TRUE,,,,,,60606
220048,"W JACKSON BRIDGE, CHICAGO IL 60606",FALSE,,,W,JACKSON BRIDGE,,60606
221669,"E 59TH ST & I C RR, CHICAGO IL 60637",TRUE,,,,,,60637
