street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geoid,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
5400 N OLCOTT AVE,60656,348954,5400 N OLCOTT AVE,FALSE,5400,5400,N,OLCOTT,AVE,"5400 N OLCOTT AVE, CHICAGO IL 60656",41.979774295687,-87.676587793406,"5400 N WOLCOTT AVE, CHICAGO, IL, 60640",17031040100,Census Bureau,FALSE,5400 N WOLCOTT AVE,5400,5400,N,WOLCOTT,AVE,60640
643-1/2 N LAKE SHORE DR,60611,354352,643 N LAKE SHORE DR,FALSE,643,643,N,LAKE SHORE,DR,"643 N LAKE SHORE DR, CHICAGO IL 60611",41.629909485265,-87.638727272074,"643 SHORE DR, CHICAGO, IL, 60827",17031826700,Census Bureau,FALSE,643 SHORE DR,643,643,,SHORE,DR,60827
801 W NORTH AVE,60642,432339,801 W NORTH AVE,FALSE,801,801,W,NORTH,AVE,"801 W NORTH AVE, CHICAGO IL 60642",41.896347848584,-87.648218216735,"801 W CHICAGO AVE, CHICAGO, IL, 60642",17031243500,Census Bureau,FALSE,801 W CHICAGO AVE,801,801,W,CHICAGO,AVE,60642
104 W LOWER WACKER DR,60606,432848,104 W LOWER WACKER DR,FALSE,104,104,,W,,"104 W LOWER WACKER DR, CHICAGO IL 60606",41.884564558264,-87.637146167331,"104 N WACKER DR, CHICAGO, IL, 60606",17031839100,Census Bureau,FALSE,104 N WACKER DR,104,104,N,WACKER,DR,60606
36 W LOWER WACKER DR,60606,432846,36 W LOWER WACKER DR,FALSE,36,36,,W,,"36 W LOWER WACKER DR, CHICAGO IL 60606",41.882386772969,-87.63710410915,"36 N WACKER DR, CHICAGO, IL, 60623",17031839100,Census Bureau,FALSE,36 N WACKER DR,36,36,N,WACKER,DR,60623
52 W LOWER WACKER DR,60606,432847,52 W LOWER WACKER DR,FALSE,52,52,,W,,"52 W LOWER WACKER DR, CHICAGO IL 60606",41.882582176699,-87.637108208509,"52 N WACKER DR, CHICAGO, IL, 60623",17031839100,Census Bureau,FALSE,52 N WACKER DR,52,52,N,WACKER,DR,60623
