street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
58 E CARVER PLZ,60653,377617,58 E CARVER PLZ,FALSE,58,58,E,CARVER,PLZ,"58 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624266,"58 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,58 E CARVER PLAZA,58,58,E,CARVER PLAZA,,60653
76 E CARVER PLZ,60653,377618,76 E CARVER PLZ,FALSE,76,76,E,CARVER,PLZ,"76 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.624155,"76 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,76 E CARVER PLAZA,76,76,E,CARVER PLAZA,,60653
72 E CARVER PLZ,60653,379923,72 E CARVER PLZ,FALSE,72,72,E,CARVER,PLZ,"72 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.62418,"72 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,72 E CARVER PLAZA,72,72,E,CARVER PLAZA,,60653
106 E CARVER PLZ,60653,395424,106 E CARVER PLZ,FALSE,106,106,E,CARVER,PLZ,"106 E CARVER PLZ, CHICAGO IL 60653",41.827142,-87.622698,"106 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,106 E CARVER PLAZA,106,106,E,CARVER PLAZA,,60653
108 E CARVER PLZ,60653,395425,108 E CARVER PLZ,FALSE,108,108,E,CARVER,PLZ,"108 E CARVER PLZ, CHICAGO IL 60653",41.827142,-87.622639,"108 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,108 E CARVER PLAZA,108,108,E,CARVER PLAZA,,60653
48 E CARVER PLZ,60653,396511,48 E CARVER PLZ,FALSE,48,48,E,CARVER,PLZ,"48 E CARVER PLZ, CHICAGO IL 60653",41.827207,-87.624328,"48 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,48 E CARVER PLAZA,48,48,E,CARVER PLAZA,,60653
50 E CARVER PLZ,60653,396512,50 E CARVER PLZ,FALSE,50,50,E,CARVER,PLZ,"50 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624316,"50 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,50 E CARVER PLAZA,50,50,E,CARVER PLAZA,,60653
56 E CARVER PLZ,60653,396513,56 E CARVER PLZ,FALSE,56,56,E,CARVER,PLZ,"56 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624279,"56 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,56 E CARVER PLAZA,56,56,E,CARVER PLAZA,,60653
60 E CARVER PLZ,60653,396514,60 E CARVER PLZ,FALSE,60,60,E,CARVER,PLZ,"60 E CARVER PLZ, CHICAGO IL 60653",41.827206,-87.624254,"60 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,60 E CARVER PLAZA,60,60,E,CARVER PLAZA,,60653
66 E CARVER PLZ,60653,396515,66 E CARVER PLZ,FALSE,66,66,E,CARVER,PLZ,"66 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.624217,"66 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,66 E CARVER PLAZA,66,66,E,CARVER PLAZA,,60653
68 E CARVER PLZ,60653,396516,68 E CARVER PLZ,FALSE,68,68,E,CARVER,PLZ,"68 E CARVER PLZ, CHICAGO IL 60653",41.827205,-87.624205,"68 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,68 E CARVER PLAZA,68,68,E,CARVER PLAZA,,60653
