CCA,est_total,est_hispanic,est_white_nonhispanic,est_black_nonhispanic,est_asian_nonhispanic,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
Lower West Side,33279.0,22778.0,7309.0,1101.0,1200.0,0.6844556627302503,0.21962799362961627,0.033083926800685115,0.03605877580456143,0.7803720063703837
McKinley Park,15443.0,8595.0,2127.0,394.0,4083.0,0.5565628440069934,0.13773230589911287,0.025513177491420062,0.26439163374991903,0.8622676941008871
Montclare,14084.0,8093.0,4493.0,1040.0,362.0,0.5746236864527123,0.31901448452144276,0.07384265833570008,0.02570292530531099,0.6809855154785572
Morgan Park,21326.66280653951,976.308242506812,6118.581232970027,12868.439202997275,232.0367847411444,0.04577876301431658,0.2868982028962287,0.6033967583081661,0.010880126292895377,0.7131017971037712
Mount Greenwood,18553.0,2082.0,15097.0,481.0,165.0,0.11221904813237751,0.813722848056918,0.025925726297633806,0.008893440413949226,0.18627715194308198
Near North Side,104712.0,7831.0,69339.0,9069.0,14097.0,0.07478607991443197,0.662187714875086,0.08660898464359386,0.13462640385056154,0.33781228512491407
Near South Side,29174.0,2116.0,14654.0,6160.0,4981.0,0.07253033522999931,0.5022965654349764,0.2111469116336464,0.17073421539727154,0.49770343456502364
Near West Side,66084.0,7207.0,28248.0,16267.0,11211.0,0.10905816839174384,0.4274559651352824,0.24615640699715513,0.16964772108225895,0.5725440348647176
New City,41777.1519434629,28476.57714958775,3973.040047114252,7687.934040047114,1347.1260306242639,0.6816304086052863,0.09510078744695126,0.18402245443756457,0.03224552100744761,0.9048992125530488
North Center,35408.0,4699.0,25892.0,775.0,2189.0,0.13271012200632626,0.7312471757794848,0.02188770899231812,0.06182218707636692,0.26875282422051516
North Lawndale,31244.0,4994.0,1605.0,23801.0,120.0,0.15983868902829343,0.05136986301369863,0.7617782614261939,0.0038407374215849444,0.9486301369863014
North Park,18742.0,3300.0,7828.0,958.0,5994.0,0.1760751253868317,0.41767153985700567,0.05111514246078327,0.31981645502080885,0.5823284601429943
Norwood Park,38883.80070253282,7135.344056202625,27436.874283601406,373.79164355703455,2817.923276021446,0.18350428526236742,0.7056119460517196,0.009613042881702828,0.07247036619642717,0.2943880539482803
O'Hare,14028.670150053591,2035.0994105037512,8719.398981779206,908.0600214362272,1877.1551446945336,0.1450671652220704,0.6215413783711992,0.06472887392200595,0.1338084882327469,0.37845862162880084
Oakland,6946.0,366.0,410.0,5853.0,34.0,0.05269219694788367,0.05902677800172761,0.8426432479124676,0.0048949035416066804,0.9409732219982724
Portage Park,61793.0,25560.0,29898.0,850.0,3340.0,0.4136390853332902,0.483841211787743,0.013755603385496739,0.054051429773598954,0.516158788212257
Pullman,6741.0,521.0,900.0,4966.0,88.0,0.07728823616674084,0.13351134846461948,0.7366859516392227,0.013054442960985017,0.8664886515353805
Riverdale,7536.0,137.0,22.0,7247.0,0.0,0.01817940552016985,0.00291932059447983,0.9616507430997877,0.0,0.9970806794055201
Rogers Park,54388.0,11466.0,24262.0,12650.0,3136.0,0.2108185629182908,0.4460910494962124,0.23258807089799222,0.0576597778921821,0.5539089505037876
Roseland,36700.0,880.0,943.0000000000001,33872.0,73.0,0.023978201634877384,0.025694822888283383,0.9229427792915531,0.001989100817438692,0.9743051771117166
South Chicago,29381.0,6789.0,1339.0,20588.0,71.0,0.23106769681086417,0.04557367005888159,0.7007249583063885,0.0024165276879616077,0.9544263299411184
South Deering,14210.0,4983.0,672.0,8426.0,15.0,0.35066854327938074,0.04729064039408867,0.5929627023223082,0.001055594651653765,0.9527093596059113
South Lawndale,68798.0,55722.0,3985.0,8411.0,464.0,0.809936335358586,0.05792319544172796,0.12225646094363209,0.006744382104130934,0.942076804558272
South Shore,54115.17239498091,1493.2264048008728,1771.8008728859793,49441.60201854883,277.8066012002182,0.027593488826053652,0.03274129591519717,0.9136365982109382,0.005133617595681619,0.9672587040848029
The Loop,42181.0,5093.0,21467.0,3940.0,9967.0,0.1207415661079633,0.5089258196818472,0.09340698418719329,0.2362912211659278,0.4910741803181527
Uptown,57331.0,8025.0,29195.0,11470.0,5970.0,0.1399766269557482,0.5092358409935288,0.20006628176728122,0.10413214491287436,0.4907641590064712
Washington Heights,25312.0,396.0,318.0,24321.0,0.0,0.015644753476611883,0.012563211125158028,0.9608486093552465,0.0,0.987436788874842
Washington Park,13111.0,184.0,204.0,12444.0,10.0,0.014034017237434216,0.015559453893677066,0.949126687514301,0.0007627183281214248,0.9844405461063229
West Elsdon,18568.0,15432.0,2362.0,174.0,599.0,0.8311072813442482,0.12720809995691512,0.009370960792761741,0.03225980180956484,0.8727919000430848
West Englewood,26729.0,5306.0,166.0,20426.0,186.0,0.1985109805828875,0.006210482995996858,0.7641887088929628,0.006958733959369972,0.9937895170040032
West Garfield Park,15619.0,904.0,281.0,14322.0,28.0,0.05787822523849158,0.017990908508867406,0.9169601126832704,0.0017926883923426596,0.9820090914911326
West Lawn,32649.0,28344.0,3157.0,639.0,450.0,0.8681429752825508,0.09669515145946277,0.019571809243774694,0.013782964256179362,0.9033048485405373
West Pullman,24470.0,1850.0,296.0,21774.0,18.0,0.07560277891295464,0.012096444626072742,0.8898242746219861,0.0007355946056395587,0.9879035553739273
West Ridge,78227.0,17106.0,30298.0,9155.0,17031.0,0.21867130274713334,0.3873087297224743,0.11703120405997929,0.21771255448885934,0.6126912702775257
West Town,86427.29775921002,17108.66919863274,54611.38549183441,4598.86327383213,5297.516521078617,0.1979544616366254,0.6318765819103122,0.05321077244188232,0.06129448285931274,0.36812341808968785
Woodlawn,24185.827605019094,652.7735951991272,2470.1991271140205,19120.397981451173,803.1933987997818,0.02698992177814342,0.10213415755106926,0.7905620718756495,0.033209258410206374,0.8978658424489306
